[2024-11-12T02:08:01.961+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-11-12T02:08:02.642+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: StockForcastingNext7WorkingDaysTodayOnward.load90DaysDataToSnowflake manual__2024-11-12T02:07:17.027838+00:00 [queued]>
[2024-11-12T02:08:02.762+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: StockForcastingNext7WorkingDaysTodayOnward.load90DaysDataToSnowflake manual__2024-11-12T02:07:17.027838+00:00 [queued]>
[2024-11-12T02:08:02.774+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2024-11-12T02:08:02.976+0000] {taskinstance.py:2330} INFO - Executing <Task(_PythonDecoratedOperator): load90DaysDataToSnowflake> on 2024-11-12 02:07:17.027838+00:00
[2024-11-12T02:08:03.534+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:61 DeprecationWarning: This process (pid=7683) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2024-11-12T02:08:03.582+0000] {standard_task_runner.py:63} INFO - Started process 7728 to run task
[2024-11-12T02:08:03.724+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'StockForcastingNext7WorkingDaysTodayOnward', 'load90DaysDataToSnowflake', 'manual__2024-11-12T02:07:17.027838+00:00', '--job-id', '119', '--raw', '--subdir', 'DAGS_FOLDER/Conn_Forcasting_DagFile.py', '--cfg-path', '/tmp/tmpxrpagbdo']
[2024-11-12T02:08:03.958+0000] {standard_task_runner.py:91} INFO - Job 119: Subtask load90DaysDataToSnowflake
[2024-11-12T02:08:20.508+0000] {task_command.py:426} INFO - Running <TaskInstance: StockForcastingNext7WorkingDaysTodayOnward.load90DaysDataToSnowflake manual__2024-11-12T02:07:17.027838+00:00 [running]> on host d99256b0cb87
[2024-11-12T02:08:22.389+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='StockForcastingNext7WorkingDaysTodayOnward' AIRFLOW_CTX_TASK_ID='load90DaysDataToSnowflake' AIRFLOW_CTX_EXECUTION_DATE='2024-11-12T02:07:17.027838+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-11-12T02:07:17.027838+00:00'
[2024-11-12T02:08:22.543+0000] {taskinstance.py:430} INFO - ::endgroup::
[2024-11-12T02:08:22.648+0000] {base.py:84} INFO - Using connection ID 'snowflake_conn' for task execution.
[2024-11-12T02:08:22.652+0000] {connection.py:399} INFO - Snowflake Connector for Python Version: 3.10.0, Python Version: 3.12.3, Platform: Linux-6.10.11-linuxkit-x86_64-with-glibc2.36
[2024-11-12T02:08:22.667+0000] {connection.py:1239} INFO - This connection is in OCSP Fail Open Mode. TLS Certificates would be checked for validity and revocation status. Any other Certificate Revocation related exceptions or OCSP Responder failures would be disregarded in favor of connectivity.
[2024-11-12T02:08:27.542+0000] {cursor.py:1149} INFO - Number of results in first chunk: 1
[2024-11-12T02:08:28.587+0000] {cursor.py:1149} INFO - Number of results in first chunk: 1
[2024-11-12T02:08:30.662+0000] {cursor.py:1149} INFO - Number of results in first chunk: 1
[2024-11-12T02:08:32.452+0000] {cursor.py:1149} INFO - Number of results in first chunk: 1
[2024-11-12T02:08:33.523+0000] {cursor.py:1149} INFO - Number of results in first chunk: 1
[2024-11-12T02:08:34.716+0000] {cursor.py:1149} INFO - Number of results in first chunk: 1
[2024-11-12T02:08:35.706+0000] {cursor.py:1149} INFO - Number of results in first chunk: 1
[2024-11-12T02:08:36.710+0000] {cursor.py:1149} INFO - Number of results in first chunk: 1
[2024-11-12T02:08:38.195+0000] {cursor.py:1149} INFO - Number of results in first chunk: 1
[2024-11-12T02:08:39.141+0000] {cursor.py:1149} INFO - Number of results in first chunk: 1
[2024-11-12T02:08:40.575+0000] {cursor.py:1149} INFO - Number of results in first chunk: 1
[2024-11-12T02:08:41.731+0000] {cursor.py:1149} INFO - Number of results in first chunk: 1
[2024-11-12T02:08:42.613+0000] {cursor.py:1149} INFO - Number of results in first chunk: 1
[2024-11-12T02:08:44.114+0000] {cursor.py:1149} INFO - Number of results in first chunk: 1
[2024-11-12T02:08:45.640+0000] {cursor.py:1149} INFO - Number of results in first chunk: 1
[2024-11-12T02:08:46.625+0000] {cursor.py:1149} INFO - Number of results in first chunk: 1
[2024-11-12T02:08:47.981+0000] {cursor.py:1149} INFO - Number of results in first chunk: 1
[2024-11-12T02:08:48.885+0000] {cursor.py:1149} INFO - Number of results in first chunk: 1
[2024-11-12T02:08:52.619+0000] {cursor.py:1149} INFO - Number of results in first chunk: 1
[2024-11-12T02:08:54.334+0000] {cursor.py:1149} INFO - Number of results in first chunk: 1
[2024-11-12T02:08:55.658+0000] {cursor.py:1149} INFO - Number of results in first chunk: 1
[2024-11-12T02:08:56.694+0000] {cursor.py:1149} INFO - Number of results in first chunk: 1
[2024-11-12T02:08:57.497+0000] {cursor.py:1149} INFO - Number of results in first chunk: 1
[2024-11-12T02:08:58.565+0000] {cursor.py:1149} INFO - Number of results in first chunk: 1
